Designator,Mid X,Mid Y,Rotation,Layer
BT1,96.0,-45.235,90.0,top
D1,115.23,-41.0,0.0,top
D2,121.73,-41.0,0.0,top
D3,128.23,-41.0,0.0,top
D4,134.73,-41.0,0.0,top
D5,141.23,-41.0,0.0,top
R1,115.0,-49.31,270.0,top
R10,141.5,-59.56,270.0,top
R12,128.5,-69.19,270.0,top
R13,135.0,-69.5,270.0,top
R14,141.5,-69.38,270.0,top
R15,135.0,-79.31,270.0,top
R17,141.5,-79.32,270.0,top
R18,141.5,-89.06,270.0,top
R19,129.3,-28.5,0.0,top
R2,122.0,-49.31,270.0,top
R3,128.5,-49.31,270.0,top
R5,135.0,-49.31,270.0,top
R6,141.5,-49.31,270.0,top
R7,122.0,-59.31,270.0,top
R8,128.5,-59.25,270.0,top
R9,135.0,-59.37,270.0,top
